id;parent;weight;exercise;type;featured;otherPs;predPs;followPs;similarPs;alternativePs;evaluation;grade;class;topic;examples;url;specs;visible;ordering
59;25;1;43;basic;0;;;;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,53,60,61,63,67,72,73,74,76,77,78,79,80,105,106,107,108,111,112,115,116,117,119;;medalBased;1;9;Opakování;;python-zelvi-grafika-opakovani;;1;0
60;25;1;43;basic;0;;;;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,61,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Vnořené cykly a funkce;;python-zelvi-grafika-funkce-vnorene;;1;0
61;25;1;43;basic;0;;;;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,63,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Proměnné;;python-zelvi-grafika-promenne;;1;0
62;26;1;39;basic;0;;58;120;4,28,42,43,55,56,58,64;;medalBased;1;4;Přebarvování;;sipkovana-prebarvovani;;1;7
63;25;1;43;basic;0;;;;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,67,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Rekurze a fraktály;;python-zelvi-grafika-fraktaly;;1;0
64;26;1;39;basic;0;;54;55;42,48,54,55,56,58,62;;medalBased;1;3;Skoky;;sipkovana-skoky;;1;4
65;26;1;39;basic;0;;56;;4,5,28,43,44,46,47,69;;medalBased;1;6;Obtížné;;sipkovana-obtizne;;1;10
66;27;1;26;basic;0;;;;10,106,9,107;;medalBased;2;10;;[[["text", "Které z následujích tvrzení je pravdivé?"]],[["text", "Co vypíše program?"],["python64","Y2xhc3MgWDoKICAgIGRlZiBfX2luaXRfXyhzZWxmLCBhKToKICAgICAgICBzZWxmLmEgPSBhCiAgICBkZWYgZihzZWxmLCBhKToKICAgICAgICBwcmludChhKQoKeCA9IFgoMykKeC5mKDcpCg=="]],[["text", "Co platí o následujícím programu?"],["python64","Y2xhc3MgUGVyc29uOgogICAgZGVmIF9faW5pdF9fKHNlbGYsIG5hbWUpOgogICAgICAgIHNlbGYubmFtZSA9IG5hbWUKCiAgICBkZWYgZGVzY3JpYmUoc2VsZik6CiAgICAgICAgcHJpbnQoc2VsZi5uYW1lKQoKdG9tID0gUGVyc29uKCJUb20iKQp0b20uZGVzY3JpYmUoKQo="]]];rozhodovacka-objekty-2-uroven;;1;0
67;21;1;36;basic;0;;19;20;6,7,9,10,11,12,18,19,20,21,23,29,30,33,49,50,51,52,59,60,61,63,72,73,74,77,78,79,80,105,106,107,111,112,115,116,117,119;;medalBased;1;10;Kombinace výrazů a binárních čísel;;binarni-krizovka-vyrazy-cisla;;1;3
68;24;1;26;basic;0;;;;;;medalBased;2;0;;[];rozhodovacka-slovniky-2-uroven;;0;0
